product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262600,KWH,I_TAX,NAC,BE	: 	0.0873 	0.0781 	0.0691 	0.0593 	0.0595 	0.0582 	0.0552 	0.0557 	0.0551 	0.0555 	0.0559 	0.0539 	0.0543 	0.0514 	0.0511 	0.0513 	0.0545 	0.0535 	0.0545 	0.0533 	0.0534 	0.0535 	0.0530 	0.0543 	0.0523 	0.0516 	0.0530 	0.0530 	0.0530 	0.0498 	0.0488 
6000,4262600,KWH,I_TAX,NAC,EL	: 	0.0476 	0.0476 	0.0460 	0.0456 	0.0445 	0.0445 	0.0434 	0.0434 	0.0420 	0.0420 	0.0418 	0.0407 	0.0395 	0.0395 	0.0395 	0.0395 	0.0419 	0.0419 	: 	0.0405 	0.0405 	0.0405 	0.0405 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0364 
6000,4262600,KWH,I_TAX,NAC,ES	: 	: 	0.0398 	0.0379 	: 	: 	0.0373 	0.0367 	0.0367 	0.0374 	0.0374 	0.0356 	0.0356 	0.0351 	0.0351 	0.0344 	0.0344 	0.0344 	0.0344 	0.0316 	0.0316 	0.0367 	0.0367 	0.0367 	0.0367 	0.0370 	0.0370 	0.0370 	0.0370 	0.0361 	0.0361 	0.0376 
6000,4262600,KWH,I_TAX,NAC,IT	0.1073 	0.1027 	0.0998 	0.0846 	0.0877 	0.0763 	0.0759 	0.0783 	0.0779 	0.0753 	0.0717 	0.0726 	0.0787 	0.0697 	0.0624 	0.0527 	0.0568 	0.0609 	0.0609 	0.0586 	0.0591 	0.0553 	0.0553 	0.0553 	0.0528 	0.0500 	0.0500 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,PL	: 	: 	0.2394 	0.2366 	0.2402 	0.2356 	0.2351 	: 	0.2322 	0.2285 	0.2246 	0.2070 	0.1950 	0.1950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,PT	: 	: 	: 	: 	0.0524 	: 	0.0500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,RO	: 	: 	0.1921 	0.2330 	2417.2000 	2113.4300 	1996.0600 	1682.2100 	1527.2300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,UK	: 	0.0537 	0.0505 	0.0376 	0.0353 	0.0296 	0.0329 	0.0306 	0.0323 	0.0339 	0.0339 	0.0377 	0.0348 	0.0406 	0.0378 	0.0373 	0.0412 	0.0390 	0.0394 	0.0380 	0.0419 	0.0424 	0.0421 	0.0419 	0.0437 	0.0402 	0.0438 	0.0447 	0.0450 	0.0430 	0.0400 	0.0410 
6000,4262600,KWH,X_TAX,NAC,BE	: 	0.0694 	0.0617 	0.0545 	0.0464 	0.0472 	0.0468 	0.0445 	0.0457 	0.0455 	0.0458 	0.0460 	0.0445 	0.0449 	0.0425 	0.0423 	0.0424 	0.0451 	0.0441 	0.0451 	0.0439 	0.0441 	0.0441 	0.0441 	0.0451 	0.0434 	0.0429 	0.0444 	0.0444 	0.0444 	0.0426 	0.0416 
6000,4262600,KWH,X_TAX,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
